date,n1,n2,n3,n4,n5,n6
11/19/2020,23,3,34,27,42,39
11/22/2020,43,1,13,25,12,19
11/26/2020,44,3,35,13,28,25
11/29/2020,17,43,25,21,8,10
12/3/2020,3,24,4,37,44,9
12/6/2020,13,37,26,17,28,16
12/6/2020,45,12,31,32,35,14
12/10/2020,20,27,30,31,49,39
12/13/2020,15,23,8,36,5,47
12/17/2020,12,49,38,39,45,29
12/20/2020,46,27,44,5,16,42
12/24/2020,43,20,2,8,31,30
12/31/2020,25,38,41,1,10,36
